Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2024-07-02,17808.039063,18031.289063,17802.240234,18028.759766,18028.759766,4526550000
2024-07-03,18016.119141,18188.300781,18016.119141,18188.300781,18188.300781,3713960000
2024-07-05,18200.599609,18366.310547,18197.140625,18352.759766,18352.759766,4851000000
2024-07-08,18371.859375,18416.939453,18342.599609,18403.740234,18403.740234,5286260000
2024-07-09,18465.019531,18511.890625,18381.599609,18429.289063,18429.289063,4839140000
2024-07-10,18512.089844,18655.189453,18467.580078,18647.449219,18647.449219,5228240000
2024-07-11,18659.250000,18671.070313,18238.779297,18283.410156,18283.410156,6366620000
2024-07-12,18303.640625,18556.730469,18293.599609,18398.449219,18398.449219,5845930000
2024-07-15,18485.910156,18641.529297,18397.830078,18472.570313,18472.570313,5450350000
2024-07-16,18534.269531,18576.830078,18386.070313,18509.339844,18509.339844,5812930000
2024-07-17,18188.189453,18223.240234,17972.869141,17996.919922,17996.919922,6007280000
2024-07-18,18119.150391,18130.869141,17759.539063,17871.220703,17871.220703,5977260000
2024-07-19,17835.589844,17935.140625,17691.429688,17726.939453,17726.939453,4992930000
2024-07-22,17923.650391,18040.990234,17839.759766,18007.570313,18007.570313,5093620000
2024-07-23,17982.740234,18128.380859,17968.099609,17997.349609,17997.349609,4938000000
2024-07-24,17733.910156,17747.060547,17313.519531,17342.410156,17342.410156,6735560000
2024-07-25,17352.640625,17544.460938,17033.960938,17181.720703,17181.720703,6114350000
2024-07-26,17331.949219,17454.570313,17239.990234,17357.880859,17357.880859,5281560000
2024-07-29,17444.390625,17535.320313,17299.830078,17370.199219,17370.199219,4897230000
2024-07-30,17424.099609,17468.560547,17015.380859,17147.419922,17147.419922,5564310000
2024-07-31,17499.230469,17693.980469,17438.599609,17599.400391,17599.400391,6292560000
2024-08-01,17647.029297,17791.580078,17051.419922,17194.150391,17194.150391,6664550000
2024-08-02,16780.449219,16920.630859,16582.789063,16776.160156,16776.160156,6313870000
2024-08-05,15712.530273,16453.460938,15708.540039,16200.080078,16200.080078,6852190000
2024-08-06,16261.360352,16620.310547,16137.650391,16366.849609,16366.849609,5908930000
2024-08-07,16622.310547,16709.810547,16179.530273,16195.809570,16195.809570,5913620000
2024-08-08,16408.269531,16694.250000,16262.929688,16660.019531,16660.019531,5815880000
2024-08-09,16636.519531,16789.220703,16574.570313,16745.300781,16745.300781,5783410000
2024-08-12,16793.640625,16895.789063,16699.390625,16780.609375,16780.609375,4890850000
2024-08-13,16944.740234,17192.789063,16943.949219,17187.609375,17187.609375,5469160000
2024-08-14,17227.640625,17260.730469,17032.169922,17192.599609,17192.599609,4985480000
2024-08-15,17394.539063,17602.720703,17375.410156,17594.500000,17594.500000,5478170000
2024-08-16,17516.400391,17674.650391,17502.830078,17631.720703,17631.720703,5138150000
2024-08-19,17649.740234,17877.439453,17585.580078,17876.769531,17876.769531,5564300000
2024-08-20,17849.089844,17932.529297,17758.199219,17816.939453,17816.939453,5305260000
2024-08-21,17840.509766,17963.070313,17790.980469,17918.990234,17918.990234,4765150000
2024-08-22,17993.720703,18017.689453,17589.150391,17619.349609,17619.349609,5065360000
2024-08-23,17772.730469,17941.269531,17700.269531,17877.789063,17877.789063,5380810000
